"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2019","4","1052943000000","424463000000","-","-","476204000000","152276000000","14.5","235695000000","135676000000","47655000000","35.1","81675000000","7.8","17.1","162.0","777231369820","1657331369820","-880100000000","-","2.1","-","3.3","1.6","19.9","8.9","2.55","51.7","5.5","10.6","0.27","5.1","10.4","13.6","2.1","3933910000000","-","880100000000","22","10","53","0","0","-","-","2886086000000","-","0","-","0","0.0","-10.8","271","1047823000000","771548000000","771549000000","20","237422000000","330752000000","243278000000","83419000000","-","-503034000000","593410000000","328404000000","113778000000","922000000","4762446465","14168","74318394","10747883","348"
"2018","4","954714000000","408912000000","545802000000","57.2","413249000000","140528000000","14.7","193026000000","123370000000","45542000000","36.9","78677000000","8.2","15.5","161.0","991279313665","1377698313665","-331572000000","-","1.7","-","-","-","31.0","8.9","3.27","57.2","5.5","9.6","0.39","3.0","9.3","9.2","3.2","2429601000000","1860000000000","546784000000","23","7","43","328281000000","18306000000","131.9","571000000000","1519077000000","1410000000000","394545000000","108000000000","215212000000","0.3","-4.2","162","910523000000","818291000000","818292000000","34","8939000000","832147000000","149957000000","52498000000","-","-212193000000","-263305000000","235006000000","85049000000","1015000000","5083750615","12874","74158304","10915644","271"
"2017","4","897185000000","382467000000","514718000000","57.4","339573000000","185810000000","20.7","230214000000","193177000000","58764000000","30.4","131153000000","14.6","23.0","178.0","2401819392810","2812808392810","-677751000000","-","2.9","-","-","-","73.9","8.9","1.79","38.5","5.0","12.9","0.36","2.5","12.9","10.6","5.2","2516633000000","2010630000000","868325000000","35","12","21","297050000000","17685000000","156.6","505994000000","1394746000000","1284320000000","348346000000","110426000000","190574000000","0.2","-5.2","124","1121887000000","1013368000000","1013369000000","40","8737000000","993894000000","75457000000","44404000000","-","232556000000","21289000000","163079000000","87622000000","697000000","5694047715","12244","73275482","15175596","494"
"2016","4","853730000000","373513000000","480217000000","56.2","288167000000","192049000000","22.5","230095000000","193475000000","60842000000","31.4","136589000000","16.0","24.0","163.5","2460435686400","2926087686400","-465652000000","-","3.1","-","-","-","76.9","8.9","1.72","36.9","5.4","14.7","0.56","1.6","14.7","13.0","8.9","1534210000000","966818000000","543067000000","35","8","19","128128000000","14352000000","232.3","567393000000","535502000000","416168000000","72200000000","119334000000","77415000000","0.1","-3.4","54","998709000000","930820000000","930821000000","61","8428000000","913178000000","127023000000","38046000000","-","-57047000000","23996000000","127023000000","56718000000","389000000","5692777600","11231","76015493","17099902","514"
"2015","4","652327000000","247372000000","404955000000","62.1","179957000000","224997000000","34.5","255694000000","226585000000","54093000000","23.9","171617000000","26.3","30.1","148.3","2302726380600","2726703380600","-423977000000","-","3.2","-","-","-","88.8","8.9","1.85","29.4","6.0","20.3","0.49","1.6","20.3","19.7","12.8","1342800000000","806380000000","449164000000","33","8","16","123442000000","14902000000","220.3","536419000000","430035000000","366022000000","69819000000","64012000000","25187000000","0.0","-2.5","47","912764000000","844165000000","844166000000","63","8358000000","827024000000","105409000000","30697000000","-","-110537000000","-49357000000","105409000000","38342000000","289000000","5692491400","9177","71082816","24517489","479"
"2014","4","428487000000","85501000000","342986000000","80.0","145774000000","197212000000","46.0","214147000000","208298000000","74365000000","35.7","133051000000","31.1","23.4","127.5","2319366920000","2823303920000","-503937000000","-","3.9","-","-","-","166.7","8.9","1.79","37.9","6.9","18.3","0.43","1.4","18.3","16.9","13.2","1007600000000","741827000000","503937000000","50","14","18","67261000000","0","309.4","265774000000","267048000000","239772000000","14820000000","27276000000","0","0.0","-3.8","36","740554000000","726001000000","726003000000","72","8281000000","705839000000","126239000000","16935000000","-","-67864000000","-37166000000","126239000000","24380000000","275000000","5692145000","7034","60916548","28036963","496"
"2013","4","386284000000","49047000000","337236000000","87.3","139820000000","197416000000","51.1","214886000000","197634000000","78427000000","38.3","125116000000","32.4","22.0","108.5","2398477202800","2881105202800","-482628000000","22.9","4.7","106.6","11.2","7.4","20.1","4.4","0.88","20.2","4.1","20.2","0.46","1.4","20.2","19.3","14.8","842749000000","665257000000","482628000000","57","15","17","61154000000","0","312.1","177491000000","216188000000","213121000000","12363000000","3066000000","0","0.0","-3.9","34","626560000000","611553000000","617962000000","73","8271000000","600456000000","132829000000","14213000000","3257000000","-7310000000","-53129000000","155549000000","22720000000","-","5693883800","6291","61402639","31380703","506"
"2012","4","342989000000","36393000000","306596000000","89.4","120244000000","186351000000","54.3","199737000000","188645000000","71788000000","38.3","115035000000","33.5","20.0","94.5","2243886639100","2512089639100","-414086000000","-","4.7","-","-","-","217.9","-","0.00","0.0","-","21.2","0.46","1.4","21.2","21.1","15.5","743311000000","576102000000","414086000000","56","14","11","55939000000","0","304.7","167209000000","192046000000","189088000000","10970000000","2957000000","0","0.0","-3.6","35","551264000000","538864000000","543460000000","73","8037000000","528081000000","139396000000","12187000000","1199000000","51404000000","-40184000000","157683000000","18287000000","-","5750038600","5780","59340657","32240657","433"
"2011","4","302088000000","28034000000","274054000000","90.7","109049000000","165004000000","54.6","176531000000","167300000000","68950000000","40.6","100559000000","33.3","17.3","80.2","1336981328580","1553248328580","-257268000000","-","3.6","-","-","-","158.4","-","0.00","0.0","-","21.6","0.54","1.2","21.4","20.6","17.9","562022000000","457004000000","257268000000","46","10","14","45222000000","0","502.3","105017000000","93721000000","90985000000","6640000000","2736000000","0","0.0","-2.6","20","468300000000","463675000000","465210000000","83","7959000000","458285000000","99736000000","10808000000","719000000","-12309000000","-18846000000","114107000000","14371000000","-","5800363900","-","-","-","268"
"2010","4","292423000000","29293000000","263129000000","90.0","103525000000","159604000000","54.6","169408000000","160218000000","64740000000","41.1","92174000000","31.5","15.9","65.9","1537299583360","1725986583360","-188687000000","-","4.5","-","-","-","176.0","-","0.00","0.0","-","24.1","0.62","1.2","-","24.8","19.5","471745000000","252550000000","188687000000","40","8","11","36945000000","158000000","300.7","219194000000","86639000000","83997000000","7124000000","2642000000","0","0.0","-2.0","22","385105000000","381179000000","382385000000","81","7925000000","375850000000","67580000000","9843000000","-39000000","11630000000","-28924000000","78161000000","10581000000","-","5799686100","-","-","-","298"
"2009","4","279856000000","32645000000","247211000000","88.3","103385000000","143825000000","51.4","154964000000","143360000000","56770000000","40.4","83523000000","29.8","14.4","53.4","1846171183700","1975409183700","-129238000000","-","6.4","-","-","-","177.3","-","0.00","0.0","-","27.0","0.67","1.4","-","27.2","20.0","418262000000","203342000000","139238000000","33","6","7","37391000000","201000000","192.6","214920000000","105988000000","105569000000","7502000000","419000000","10000000000","0.0","-1.5","34","312273000000","307550000000","309556000000","74","7521000000","300496000000","140095000000","10213000000","926000000","-7356000000","-31381000000","146814000000","6719000000","-","5801495400","-","-","-","341"
"2008","4","265754000000","-","-","-","-","134618000000","50.7","134618000000","132912000000","-","-","74715000000","28.1","12.9","40.7","1503253442600","1503253442600","0","-","6.4","-","-","-","-","-","0.00","0.0","-","31.6","0.85","1.3","-","-","24.0","311551000000","-","-","0","-","0","0","0","-","-","-","-","0","-","0","0.0","0.0","0","236469000000","-","236469000000","76","-","-","-","-","-","-","-","0","0","-","5810798000","-","-","-","259"
"2007","4","262027000000","28260000000","233766000000","89.2","108959000000","124807000000","47.6","138418000000","121511000000","50691000000","44.5","62617000000","23.9","10.3","41.0","3070877610200","3133904610200","-63027000000","-","12.6","-","-","-","230.2","-","0.00","0.0","-","25.2","0.71","1.5","25.2","24.9","16.9","369660000000","164310000000","113027000000","31","5","4","36831000000","240000000","184.7","-","118987000000","88976000000","6620000000","30010000000","50000000000","0.2","-1.0","47","250672000000","246390000000","248107000000","67","7366000000","236605000000","81493000000","10179000000","3432000000","-16981000000","-26192000000","92722000000","11229000000","0","6050008900","0","-","-","518"
"2006","4","212552000000","8486000000","204065000000","96.0","97832000000","106232000000","50.0","116192000000","102824000000","43415000000","42.7","57963000000","27.3","9.6","31.5","2476816653950","2458157653950","-5092000000","-","14.0","-","-","-","308.8","-","0.00","0.0","-","30.4","0.67","1.7","30.4","24.1","18.2","318428000000","115320000000","75212000000","24","4","2","30244000000","173000000","151.7","-","126043000000","76032000000","1022000000","50010000000","70120000000","0.4","-0.1","66","192385000000","189324000000","190693000000","60","7187000000","179897000000","72710000000","8576000000","1384000000","-160403000000","65033000000","87966000000","15256000000","0","6047508800","0","-","-","407"
"2005","4","173695000000","12843000000","160852000000","92.6","78719000000","82133000000","47.3","90094000000","79867000000","32592000000","40.8","47090000000","27.1","7.8","23.6","4242525221600","4340325221600","-97800000000","-","30.5","-","-","-","545.2","-","0.00","0.0","-","33.1","0.91","1.3","33.0","34.7","24.7","190974000000","132188000000","98038000000","51","7","2","25213000000","165000000","290.6","-","47152000000","45489000000","889000000","1663000000","238000000","0.0","-2.1","33","143822000000","-","142455000000","75","7032000000","126737000000","59604000000","6922000000","1039000000","-27532000000","-3028000000","70916000000","11312000000","0","6045021200","0","-","-","718"
"2004","4","117779000000","8931000000","108847000000","92.4","48660000000","60187000000","51.1","65048000000","60295000000","24239000000","39.9","36521000000","31.0","6.0","15.9","1826390884000","1895020884000","-68630000000","-","19.7","-","-","-","389.8","-","0.00","0.0","-","38.0","0.90","1.4","38.0","37.3","28.0","130244000000","92410000000","68992000000","53","7","4","18293000000","180000000","292.8","-","33723000000","31564000000","1228000000","2158000000","362000000","0.0","-1.9","35","96520000000","-","96059000000","74","6692000000","83461000000","46083000000","4531000000","330000000","-17119000000","384000000","56011000000","9928000000","0","6039907200","0","-","-","314"
